,Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other.7, Timestamp (Formatted)
26,46.0,86295.10090292704,101687.8532395188,0.0,-187500.02235174447,-42972.97215139534,-52202.87915502539,-49203.34210435655,-53823.6041454797,-52938.497416794,187500.0,-22507.111431015903,-44244.56289345776,-53611.28492489874,-60983.35963289257,0.0,-24347.10703457678,0.204,0.92,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.092938,0.0, 2022-03-22 22:51:42.092
27,48.0,86019.9509286822,94859.73058458931,0.0,-187500.02235174447,-41419.21298732913,-51351.88118837848,-48173.03844368916,-54067.17110480918,-52090.31576994846,187500.0,-21494.06331706802,-43417.05661023338,-52574.65572055051,-60064.59117705717,0.0,-23850.697141968863,0.192,0.906,0.21,192.0,3.0,0.0,14.0,40.0,3.0,72.0,0.0,0.0,0.0,1647985902.100519,0.0, 2022-03-22 22:51:42.100
28,50.0,85581.0967780467,114664.82903538096,0.0,-187500.02235174447,-42654.01275801811,-52376.97689258777,-49235.03687799417,-54609.58088750612,-52604.18237497597,187500.0,-22441.1961366172,-43863.33154002804,-53535.378400728514,-60819.81191871309,0.0,-24510.85591445636,0.192,0.906,0.21,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.108373,0.0, 2022-03-22 22:51:42.108
29,52.0,86564.55118233577,89476.13411857297,0.0,-187500.02235174447,-42290.50633794145,-51645.60546226567,-48594.59234411625,-53509.89741204947,-52574.20868566141,187500.0,-21910.47631627039,-43931.10202921653,-52989.79467031892,-60493.185876987685,0.0,-23948.195451282914,0.192,0.906,0.21,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.117742,0.0, 2022-03-22 22:51:42.117
30,54.0,85422.60055811412,110025.05392134831,0.0,-187500.02235174447,-41689.22206034924,-51825.69346734208,-48565.55742806881,-54734.72830471138,-52092.41683392726,187500.0,-21837.94490551292,-43362.3842432957,-52908.81430015735,-60272.10477258024,0.0,-24220.70791968202,0.192,0.906,0.21,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.123903,0.0, 2022-03-22 22:51:42.123
31,56.0,86289.02122843519,101871.6516341748,0.0,-187500.02235174447,-42957.52709597672,-52212.60216386344,-49187.89704893793,-53837.37282006417,-52934.85408244778,187500.0,-22518.041434054547,-44247.06628883675,-53611.32962838765,-60983.85137127058,0.0,-24350.750368923,0.192,0.906,0.21,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.131066,0.0, 2022-03-22 22:51:42.131
32,58.0,86025.53886479604,94741.08752502054,0.0,-187500.02235174447,-41416.08374310538,-51353.53521746817,-48153.279501590674,-54063.17014255168,-52094.920229306255,187500.0,-21499.18186654829,-43430.66882260666,-52582.59058983214,-60074.31418589523,0.0,-23852.19470884737,0.191,0.915,0.212,192.0,2.5,120.0,14.0,112.0,3.0,88.0,0.0,0.0,0.0,1647985902.138242,0.0, 2022-03-22 22:51:42.138
33,60.0,85575.01710355487,114724.88817273238,0.0,-187500.02235174447,-42634.231464175165,-52369.98079657326,-49221.17879643188,-54616.75579747628,-52594.973456260384,187500.0,-22427.11453761036,-43865.611417962486,-53534.10435129456,-60816.99559891172,0.0,-24511.191190623187,0.191,0.915,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.146073,0.0, 2022-03-22 22:51:42.146
34,62.0,86569.51326960484,89562.70242484838,0.0,-187500.02235174447,-42297.99417233398,-51646.56658727725,-48609.67977162359,-53505.65058060296,-52580.9589124869,187500.0,-21911.280979070783,-43946.90471254644,-52995.53906864394,-60502.46185093664,0.0,-23943.34512273611,0.191,0.915,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.153123,0.0, 2022-03-22 22:51:42.153
35,64.0,85437.93385481047,109841.30023018124,0.0,-187500.02235174447,-41667.71968218323,-51820.239641694985,-48556.92965470906,-54728.13454009707,-52073.61901684034,187500.0,-21810.31814936616,-43357.42215602662,-52902.913439621145,-60261.35358349724,0.0,-24207.69920440903,0.191,0.915,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.160723,0.0, 2022-03-22 22:51:42.160
36,66.0,86282.62862952097,102078.62878783094,0.0,-187500.02235174447,-42950.15102030648,-52219.978239533695,-49180.09629012302,-53846.626442268665,-52917.77734968393,187500.0,-22508.27372172758,-44247.80389640378,-53611.7543115323,-60984.81249628217,0.0,-24344.4471769866,0.191,0.915,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.1687,0.0, 2022-03-22 22:51:42.168
37,68.0,86039.21813240268,94587.48633712369,0.0,-187500.02235174447,-41414.54147273797,-51341.62173767349,-48131.28538504665,-54046.58514816585,-52082.13503147782,187500.0,-21494.599758934943,-43440.68240412264,-52577.27087465178,-60074.917682995525,0.0,-23841.24235406427,0.1925,0.9215,0.218,192.0,3.0,8.0,14.5,0.0,3.5,0.0,0.0,0.0,0.0,1647985902.175901,0.0, 2022-03-22 22:51:42.175
38,70.0,85583.62252517015,114760.5392051386,0.0,-187500.02235174447,-42613.39963834282,-52346.71263059528,-49196.03308391966,-54611.03375089571,-52568.5089908253,187500.0,-22414.217581059645,-43856.849534136,-53523.10729302255,-60806.11029936199,0.0,-24500.88703642929,0.1925,0.9215,0.218,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.183339,0.0, 2022-03-22 22:51:42.183
39,72.0,86584.55599362326,89610.04341960471,0.0,-187500.02235174447,-42293.97085833202,-51645.0913721432,-48588.400910902135,-53500.73319682279,-52553.22039761786,187500.0,-21902.697909199946,-43947.88818930247,-52992.6556936092,-60498.48324042359,0.0,-23946.87669836005,0.1925,0.9215,0.218,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.192994,0.0, 2022-03-22 22:51:42.192
40,74.0,85446.1145932811,109620.91202985193,0.0,-187500.02235174447,-41649.01127207414,-51804.19108917607,-48526.64304097212,-54715.66226669101,-52045.142894404285,187500.0,-21797.868227704555,-43357.1315833487,-52886.10492779076,-60256.72677239499,0.0,-24201.038384561347,0.1925,0.9215,0.218,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.206615,0.0, 2022-03-22 22:51:42.206
41,76.0,86280.68402775336,102245.79748461217,0.0,-187500.02235174447,-42951.49212497379,-52212.35629467444,-49178.26344707769,-53844.21245386749,-52894.531535450405,187500.0,-22511.671186884785,-44254.174143573546,-53614.36946563357,-60989.84163878461,0.0,-24355.44423525861,0.1925,0.9215,0.218,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.213218,0.0, 2022-03-22 22:51:42.213
42,78.0,86056.13840295534,94451.7441930466,0.0,-187500.02235174447,-41411.076952347394,-51334.75975212571,-48134.63814671495,-54032.34708694781,-52048.45095258367,187500.0,-21485.10026754144,-43441.59882564531,-52564.53038031225,-60067.094572436166,0.0,-23844.595115732565,0.19525,0.92275,0.222,192.0,3.0,24.0,14.0,112.0,3.5,8.0,0.0,0.0,0.0,1647985902.221058,0.0, 2022-03-22 22:51:42.221
43,80.0,85572.91603957607,114817.33498779954,0.0,-187500.02235174447,-42608.88458596284,-52362.93999706984,-49196.88245020896,-54626.36704759205,-52553.801542973706,187500.0,-22420.92310439624,-43866.95252262981,-53530.46101694835,-60811.541773264624,0.0,-24502.585769007896,0.19525,0.92275,0.222,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.228398,0.0, 2022-03-22 22:51:42.228
44,82.0,86593.65315361657,89710.2239382534,0.0,-187500.02235174447,-42285.70071288356,-51628.61813647964,-48573.022910716885,-53475.38631861047,-52542.69272597942,187500.0,-21913.71731921641,-43953.14084924947,-53006.42436819367,-60497.29859796746,0.0,-23947.97193383836,0.19525,0.92275,0.222,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.235765,0.0, 2022-03-22 22:51:42.235
